language,algorithm,size,run,joules,checksum
javascript,hash_table,large,1,0.43945352011360234,64999850000
javascript,hash_table,large,2,0.43601583004201533,64999850000
javascript,hash_table,large,3,0.4525331999757327,64999850000
javascript,hash_table,large,4,0.46271819990943186,64999850000
javascript,hash_table,large,5,0.4629617999307811,64999850000
javascript,hash_table,large,6,0.6818741995375603,64999850000
javascript,hash_table,large,7,0.4791233995347284,64999850000
javascript,hash_table,large,8,0.5965007997583598,64999850000
javascript,hash_table,large,9,0.5268521999241784,64999850000
javascript,hash_table,large,10,0.48599459990509786,64999850000
javascript,hash_table,large,11,0.4441416002518963,64999850000
javascript,hash_table,large,12,0.48794760010787286,64999850000
javascript,hash_table,large,13,0.4660781998245511,64999850000
javascript,hash_table,large,14,0.48178620025282726,64999850000
javascript,hash_table,large,15,0.5131308005657047,64999850000
javascript,hash_table,large,16,0.6911602804320864,64999850000
javascript,hash_table,large,17,0.8272769994044211,64999850000
javascript,hash_table,large,18,0.7728290403611027,64999850000
javascript,hash_table,large,19,0.7549510793527588,64999850000
javascript,hash_table,large,20,0.7343828400713391,64999850000
javascript,hash_table,large,21,0.9110827198717744,64999850000
javascript,hash_table,large,22,0.7594285201281309,64999850000
javascript,hash_table,large,23,0.7731343199091498,64999850000
javascript,hash_table,large,24,0.9596158801519777,64999850000
javascript,hash_table,large,25,0.8068677594827023,64999850000
javascript,hash_table,large,26,0.7925959200190846,64999850000
javascript,hash_table,large,27,0.8430625202134252,64999850000
javascript,hash_table,large,28,0.7058603797588148,64999850000
javascript,hash_table,large,29,0.4515564500572509,64999850000
javascript,hash_table,large,30,0.5697983499121619,64999850000
javascript,hash_table,large,31,0.45764646000607173,64999850000
javascript,hash_table,large,32,0.5813812300242717,64999850000
javascript,hash_table,large,33,0.5798556597161223,64999850000
javascript,hash_table,large,34,0.4512456100710551,64999850000
javascript,hash_table,large,35,0.44732738999446153,64999850000
javascript,hash_table,large,36,0.6040030202726484,64999850000
javascript,hash_table,large,37,0.5085955899048713,64999850000
javascript,hash_table,large,38,0.47169151982088803,64999850000
javascript,hash_table,large,39,0.5340394802158698,64999850000
javascript,hash_table,large,40,0.5120863201387692,64999850000
javascript,hash_table,large,41,0.49097496017930103,64999850000
javascript,hash_table,large,42,0.44405801982939014,64999850000
javascript,hash_table,large,43,0.4651495799043915,64999850000
javascript,hash_table,large,44,0.4925171999740997,64999850000
javascript,hash_table,large,45,0.5069221500452841,64999850000
javascript,hash_table,large,46,0.423762570101826,64999850000
javascript,hash_table,large,47,0.48914354974112945,64999850000
javascript,hash_table,large,48,0.4976222998840968,64999850000
javascript,hash_table,large,49,0.5550207600419527,64999850000
javascript,hash_table,large,50,0.42212751011975347,64999850000
python,matrix_multiplication,small,1,0.3241743197810138,9175
python,matrix_multiplication,small,2,0.21355119979125448,9175
python,matrix_multiplication,small,3,0.219332860011491,9175
python,matrix_multiplication,small,4,0.19273929992050398,9175
python,matrix_multiplication,small,5,0.2826646999019431,9175
python,matrix_multiplication,small,6,0.19116500001691747,9175
python,matrix_multiplication,small,7,0.20830930015654303,9175
python,matrix_multiplication,small,8,0.2510904001974268,9175
python,matrix_multiplication,small,9,0.18474190028500742,9175
python,matrix_multiplication,small,10,0.24468449978739953,9175
python,matrix_multiplication,small,11,0.260563480068231,9175
python,matrix_multiplication,small,12,0.24041095968859735,9175
python,matrix_multiplication,small,13,0.20193654007453005,9175
python,matrix_multiplication,small,14,0.17179253992217128,9175
python,matrix_multiplication,small,15,0.18108065982232802,9175
python,matrix_multiplication,small,16,0.2067533001973061,9175
python,matrix_multiplication,small,17,0.36207967993686907,9175
python,matrix_multiplication,small,18,0.18606383984151761,9175
python,matrix_multiplication,small,19,0.3800781599071342,9175
python,matrix_multiplication,small,20,0.23337108000123408,9175
python,matrix_multiplication,small,21,0.3052111400815192,9175
python,matrix_multiplication,small,22,0.3582402003885363,9175
python,matrix_multiplication,small,23,0.22501519990328234,9175
python,matrix_multiplication,small,24,0.2174086004088167,9175
python,matrix_multiplication,small,25,0.2114299000313622,9175
python,matrix_multiplication,small,26,0.23977214966726024,9175
python,matrix_multiplication,small,27,0.2688078998035053,9175
python,matrix_multiplication,small,28,0.2115175001672469,9175
python,matrix_multiplication,small,29,0.21572960037156008,9175
python,matrix_multiplication,small,30,0.37760345017159125,9175
python,matrix_multiplication,small,31,0.204932899956475,9175
python,matrix_multiplication,small,32,0.2314610995890689,9175
python,matrix_multiplication,small,33,0.2150726001491421,9175
python,matrix_multiplication,small,34,0.3267025999259204,9175
python,matrix_multiplication,small,35,0.20286651014030213,9175
python,matrix_multiplication,small,36,0.27974883979477455,9175
python,matrix_multiplication,small,37,0.19966478005517274,9175
python,matrix_multiplication,small,38,0.4037964001108776,9175
python,matrix_multiplication,small,39,0.3438131195638562,9175
python,matrix_multiplication,small,40,0.24135776007897222,9175
python,matrix_multiplication,small,41,0.22011429974372732,9175
python,matrix_multiplication,small,42,0.20914382988994476,9175
python,matrix_multiplication,small,43,0.2874136998521863,9175
python,matrix_multiplication,small,44,0.2100416497080005,9175
python,matrix_multiplication,small,45,0.29807995008886795,9175
python,matrix_multiplication,small,46,0.27957447008666353,9175
python,matrix_multiplication,small,47,0.26391827018524056,9175
python,matrix_multiplication,small,48,0.4339957995369332,9175
python,matrix_multiplication,small,49,0.41226640025852246,9175
python,matrix_multiplication,small,50,0.1998905997374095,9175
