language,algorithm,size,run,joules,checksum
rust,matrix_multiplication,mid,1,1.2582915206206964,646700
rust,matrix_multiplication,mid,2,1.442275839764625,646700
rust,matrix_multiplication,mid,3,1.4848916803486645,646700
rust,matrix_multiplication,mid,4,1.8113198396749794,646700
rust,matrix_multiplication,mid,5,1.504857280268334,646700
rust,matrix_multiplication,mid,6,1.4858316798461602,646700
rust,matrix_multiplication,mid,7,1.6314263999462129,646700
rust,matrix_multiplication,mid,8,1.2594345594756307,646700
rust,matrix_multiplication,mid,9,1.9092904004501179,646700
rust,matrix_multiplication,mid,10,1.2768960000248626,646700
rust,matrix_multiplication,mid,11,2.41464191977866,646700
rust,matrix_multiplication,mid,12,1.446945760305971,646700
rust,matrix_multiplication,mid,13,1.1688937605591492,646700
rust,matrix_multiplication,mid,14,0.8568938546297432,646700
rust,matrix_multiplication,mid,15,0.7856832501056488,646700
rust,matrix_multiplication,mid,16,0.6797012497554533,646700
rust,matrix_multiplication,mid,17,1.051873250362405,646700
rust,matrix_multiplication,mid,18,0.7901054999092594,646700
rust,matrix_multiplication,mid,19,0.894429750078416,646700
rust,matrix_multiplication,mid,20,0.7442585005628644,646700
rust,matrix_multiplication,mid,21,1.1836239999320242,646700
rust,matrix_multiplication,mid,22,1.3304607503232546,646700
rust,matrix_multiplication,mid,23,0.9392840001601144,646700
rust,matrix_multiplication,mid,24,0.7485905003704829,646700
rust,matrix_multiplication,mid,25,0.972952000083751,646700
rust,matrix_multiplication,mid,26,1.4121180000074673,646700
rust,matrix_multiplication,mid,27,1.0931460001302185,646700
rust,matrix_multiplication,mid,28,1.5438592495047487,646700
rust,matrix_multiplication,mid,29,0.7374639499816111,646700
rust,matrix_multiplication,mid,30,0.6702277102813241,646700
rust,matrix_multiplication,mid,31,1.260718470190477,646700
rust,matrix_multiplication,mid,32,1.2796535600791685,646700
rust,matrix_multiplication,mid,33,0.8885203296405961,646700
rust,matrix_multiplication,mid,34,0.943779790138069,646700
rust,matrix_multiplication,mid,35,0.6930338200312689,646700
rust,matrix_multiplication,mid,36,0.7033132395416032,646700
rust,matrix_multiplication,mid,37,0.6753327800877741,646700
rust,matrix_multiplication,mid,38,0.723161960086145,646700
rust,matrix_multiplication,mid,39,0.7319172205927316,646700
rust,matrix_multiplication,mid,40,0.7443573101729271,646700
rust,matrix_multiplication,mid,41,0.8343563599235494,646700
rust,matrix_multiplication,mid,42,0.9047621598147088,646700
rust,matrix_multiplication,mid,43,0.8856762599258218,646700
rust,matrix_multiplication,mid,44,0.9127288796036737,646700
rust,matrix_multiplication,mid,45,0.9209198601631214,646700
rust,matrix_multiplication,mid,46,0.9366072801698465,646700
rust,matrix_multiplication,mid,47,0.9522430397832068,646700
rust,matrix_multiplication,mid,48,0.9565939595020608,646700
rust,matrix_multiplication,mid,49,0.88688739995996,646700
rust,matrix_multiplication,mid,50,0.9393395200924715,646700
python,binary_search,small,1,0.7662842596007976,99
python,binary_search,small,2,0.9399766599322902,99
python,binary_search,small,3,1.9876171001786134,99
python,binary_search,small,4,1.7585950596694602,99
python,binary_search,small,5,1.7000383996375603,99
python,binary_search,small,6,1.4664107797842008,99
python,binary_search,small,7,1.8949654006079073,99
python,binary_search,small,8,1.8893189004826128,99
python,binary_search,small,9,1.7032593598705716,99
python,binary_search,small,10,1.6862118401011685,99
python,binary_search,small,11,1.9033811403845904,99
python,binary_search,small,12,1.56240128048521,99
python,binary_search,small,13,1.8759735203231684,99
python,binary_search,small,14,1.5910069396661128,99
python,binary_search,small,15,1.9453714600240346,99
python,binary_search,small,16,1.6087418603827246,99
python,binary_search,small,17,0.6958787996540196,99
python,binary_search,small,18,0.6721890298693325,99
python,binary_search,small,19,0.7467761905732915,99
python,binary_search,small,20,0.7437303002734552,99
python,binary_search,small,21,0.8474216600196087,99
python,binary_search,small,22,0.7048416698584333,99
python,binary_search,small,23,0.7835846997753834,99
python,binary_search,small,24,0.8023800698108972,99
python,binary_search,small,25,0.8420946301557706,99
