language,algorithm,size,run,joules,checksum
c,summation,small,1,1.3631182397948578,5050
c,summation,small,2,0.9586492797941901,5050
c,summation,small,3,1.1820472797408001,5050
c,summation,small,4,1.4062726799675147,5050
c,summation,small,5,1.1404999798658537,5050
c,summation,small,6,1.218216479945113,5050
c,summation,small,7,1.1556354898726569,5050
c,summation,small,8,0.779694479412865,5050
c,summation,small,9,0.7827026699582348,5050
c,summation,small,10,0.8585456995322602,5050
c,summation,small,11,1.2077380501388688,5050
c,summation,small,12,1.3408430705647334,5050
c,summation,small,13,0.9450917397625744,5050
c,summation,small,14,1.071152039867593,5050
c,summation,small,15,1.4742199496206012,5050
c,summation,small,16,0.4571295999921858,5050
c,summation,small,17,0.702920479956083,5050
c,summation,small,18,0.6951004798524081,5050
c,summation,small,19,0.6937720004469156,5050
c,summation,small,20,0.7559934403048828,5050
c,summation,small,21,0.7515921599930152,5050
c,summation,small,22,0.5976393599528819,5050
c,summation,small,23,0.7976547199767082,5050
c,summation,small,24,0.689087360119447,5050
c,summation,small,25,0.9815479998709633,5050
c,summation,small,26,0.6400219202972948,5050
c,summation,small,27,1.1328327999450265,5050
c,summation,small,28,0.8613150400808081,5050
c,summation,small,29,0.5966089601395651,5050
c,summation,small,30,0.49847807995975013,5050
c,summation,small,31,0.43544566021882924,5050
c,summation,small,32,0.48291489966795775,5050
c,summation,small,33,0.7924815599122667,5050
c,summation,small,34,0.6997108296811347,5050
c,summation,small,35,0.5813905498289387,5050
c,summation,small,36,0.631368399670464,5050
c,summation,small,37,0.42896633004856993,5050
c,summation,small,38,0.41034759968461,5050
c,summation,small,39,0.40247193975956175,5050
c,summation,small,40,0.4220026196708204,5050
c,summation,small,41,0.4374698899686336,5050
c,summation,small,42,0.5057555099818273,5050
c,summation,small,43,0.5828377099707722,5050
c,summation,small,44,0.7211146499248571,5050
c,summation,small,45,0.9437607900821604,5050
c,summation,small,46,0.7976403398788534,5050
c,summation,small,47,0.9507206102818601,5050
c,summation,small,48,0.9003666705611977,5050
c,summation,small,49,0.9035757497142186,5050
c,summation,small,50,1.008642460370902,5050
