language,algorithm,size,count,mean,std,cv_pct
javascript,merge_sort,small,50,0.01210955182765605,0.014854041399485386,122.66384099832179
c,summation,mid,50,0.0041086100384126875,0.002679154159637655,65.20828539553281
c,summation,small,50,0.004357233021059028,0.002732945437391502,62.722039977730134
go,bfs,mid,50,0.04646476614277339,0.029115856543621862,62.66222551116878
java,binary_search,mid,50,0.010685905415331891,0.006444144629493964,60.305087674162394
rust,hash_table,mid,50,0.006723665710189324,0.00404987792961486,60.233183863937576
python,binary_search,small,50,0.004910195158910892,0.00290375224759669,59.1372064372439
rust,binary_search,large,50,0.0030897241090423783,0.0017384818662176836,56.26657283509059
c,bfs,small,50,0.0033359479079953843,0.0018691214831928298,56.02969634846636
go,binary_search,mid,50,0.004758862216782244,0.0026641265103156514,55.982425818519054
rust,hash_table,small,50,0.003338361321832008,0.001868064206516495,55.957520065304045
go,merge_sort,small,50,0.0050479641098645,0.0027826981713113623,55.12515760311254
rust,binary_search,small,50,0.0033414211660273817,0.001780900715946255,53.297702607886734
python,bfs,small,50,0.013977740650094298,0.007327932440601101,52.42572905050763
rust,matrix_multiplication,mid,50,0.08284921382495664,0.04321597682409333,52.16220508187297
rust,merge_sort,small,50,0.003492945992154956,0.0018114012580264368,51.85883956106924
go,bfs,small,50,0.00586003740917653,0.003025528826155366,51.629855151053086
c,hash_table,small,50,0.0029958391962572415,0.0015429730703365812,51.50386817370727
go,hash_table,small,50,0.004558110709476702,0.0023437499205953348,51.419328532816856
go,summation,mid,50,0.005065488441032308,0.002601705508489038,51.36139463697661
go,hash_table,mid,50,0.01145442398480368,0.005867978110256415,51.228923584820386
go,binary_search,large,50,0.004897385208227154,0.0024739194687285514,50.515108849771416
rust,bfs,small,50,0.00384088144253469,0.0019346873817911053,50.37092164225613
rust,binary_search,mid,50,0.004253549290588074,0.002130517533425102,50.087994469450415
rust,summation,small,50,0.003483080884849138,0.0017369253220848996,49.86749890421022
python,binary_search,mid,50,0.00352325579879102,0.0017521279317097229,49.73036395231232
python,binary_search,large,50,0.00442279839544785,0.0021989700811165043,49.718976188916656
c,matrix_multiplication,small,50,0.004699062777508462,0.0023232697267151032,49.44112978943746
rust,hash_table,large,50,0.0415993767919717,0.020448323714860016,49.15536070916898
python,summation,mid,50,0.015472653981414581,0.007567565536856287,48.90929213531359
rust,matrix_multiplication,small,50,0.005263686422083937,0.0025452576147380235,48.355038857545296
c,binary_search,small,50,0.004394400141551112,0.0021097358299079477,48.00964322660122
rust,bfs,mid,50,0.016680433974513968,0.00799479085093264,47.92915378069827
java,summation,mid,50,0.009879326364200048,0.004653306970334295,47.10146014809871
java,merge_sort,mid,50,0.01826395231077909,0.00857124575638328,46.92985182251417
javascript,summation,small,50,0.008034982257580803,0.0037682580753009144,46.89815054346458
c,merge_sort,mid,50,0.008934433669812232,0.004175246434015223,46.732077133468394
go,merge_sort,mid,50,0.013388697179732796,0.006233462006623504,46.55764427967971
c,hash_table,large,50,0.03796454156390969,0.01762681694250657,46.42968469099911
javascript,hash_table,small,50,0.008317292598367155,0.0038551496494071444,46.351016317064335
c,binary_search,large,50,0.0026992149269207837,0.0012509647025260892,46.345501799412745
c,matrix_multiplication,mid,50,0.11132875732972748,0.05145629229403396,46.22012634312759
go,binary_search,small,50,0.0043879738789982595,0.0020046837894971688,45.68586424572843
go,summation,small,50,0.004236506603541734,0.0019286636287256776,45.524858314001165
python,summation,small,50,0.004418073519016568,0.0019994236496456664,45.25555405630108
